Node,Depth,Value
root,0,-Infinity
D1,1,Infinity
B2,2,Infinity
D2,3,Infinity
A3,4,-689
D2,3,-689
C3,4,-3329
D2,3,-3329
B4,4,-723
D2,3,-3329
C4,4,239
D2,3,-3329
D4,4,-1429
D2,3,-3329
D5,4,-115
D2,3,-3329
B2,2,-3329
A3,3,Infinity
D2,4,-5077
A3,3,-5077
C3,4,-3008
A3,3,-5077
B4,4,-1764
A3,3,-5077
C4,4,-1848
A3,3,-5077
D4,4,-1784
A3,3,-5077
D5,4,-2202
A3,3,-5077
B2,2,-5077
C3,3,Infinity
D2,4,-5517
C3,3,-5517
A3,4,-3216
C3,3,-5517
B4,4,-3250
C3,3,-5517
C4,4,-2288
C3,3,-5517
D4,4,-2224
C3,3,-5517
D5,4,-2642
C3,3,-5517
B2,2,-5517
B4,3,Infinity
D2,4,-6149
B4,3,-6149
A3,4,-4154
B4,3,-6149
C3,4,-4080
B4,3,-6149
C4,4,-2920
B4,3,-6149
D4,4,-2856
B4,3,-6149
D5,4,-3274
B4,3,-6149
B2,2,-6149
C4,3,Infinity
D2,4,-6371
C4,3,-6371
A3,4,-4070
C4,3,-6371
C3,4,-4236
C4,3,-6371
B4,4,-4344
C4,3,-6371
D4,4,-3318
C4,3,-6371
D5,4,-3496
C4,3,-6371
B2,2,-6371
D4,3,Infinity
D2,4,-6435
D4,3,-6435
A3,4,-4134
D4,3,-6435
C3,4,-4060
D4,3,-6435
B4,4,-4168
D4,3,-6435
C4,4,-3206
D4,3,-6435
D5,4,-3672
D4,3,-6435
B2,2,-6435
D5,3,Infinity
D2,4,-5045
D5,3,-5045
A3,4,-2744
D5,3,-5045
C3,4,-2670
D5,3,-5045
B4,4,-2778
D5,3,-5045
C4,4,-1816
D5,3,-5045
D4,4,-2308
D5,3,-5045
B2,2,-6435
D1,1,-6435
D2,2,Infinity
B2,3,Infinity
A3,4,-4137
B2,3,-4137
C3,4,-5517
B2,3,-5517
B4,4,-3291
B2,3,-5517
C4,4,-3375
B2,3,-5517
D4,4,-3311
B2,3,-5517
D5,4,-3729
B2,3,-5517
D2,2,-5517
A3,3,Infinity
B2,4,-5609
A3,3,-5609
C3,4,-6227
A3,3,-6227
B4,4,-4983
A3,3,-6227
C4,4,-5067
A3,3,-6227
D4,4,-5003
A3,3,-6227
D5,4,-5421
A3,3,-6227
D2,2,-6227
C3,3,Infinity
B2,4,-5517
C3,3,-5517
A3,4,-6435
C3,3,-6435
B4,4,-6243
C3,3,-6435
C4,4,-5281
C3,3,-6435
D4,4,-5217
C3,3,-6435
D5,4,-5635
C3,3,-6435
D2,2,-6435
B4,3,Infinity
B2,4,-6455
B4,3,-6455
A3,4,-6675
B4,3,-6675
C3,4,-7073
B4,3,-7073
C4,4,-5913
B4,3,-7073
D4,4,-5849
B4,3,-7073
D5,4,-6267
B4,3,-7073
D2,2,-7073
C4,3,Infinity
B2,4,-6371
C4,3,-6371
A3,4,-7289
C4,3,-7289
C3,4,-7229
C4,3,-7289
B4,4,-7337
C4,3,-7337
D4,4,-6311
C4,3,-7337
D5,4,-6489
C4,3,-7337
D2,2,-7337
D4,3,Infinity
B2,4,-6435
D4,3,-6435
A3,4,-7353
D4,3,-7353
C3,4,-7053
D4,3,-7353
B4,4,-7161
D4,3,-7353
C4,4,-6199
D4,3,-7353
D5,4,-6665
D4,3,-7353
D2,2,-7353
D5,3,Infinity
B2,4,-5045
D5,3,-5045
A3,4,-5963
D5,3,-5963
C3,4,-5663
D5,3,-5963
B4,4,-5771
D5,3,-5963
C4,4,-4809
D5,3,-5963
D4,4,-5301
D5,3,-5963
D2,2,-7353
D1,1,-7353
A3,2,Infinity
B2,3,Infinity
D2,4,-7279
B2,3,-7279
C3,4,-4904
B2,3,-7279
B4,4,-4846
B2,3,-7279
C4,4,-4050
B2,3,-7279
D4,4,-3986
B2,3,-7279
D5,4,-4404
B2,3,-7279
A3,2,-7279
D2,3,Infinity
B2,4,-1671
D2,3,-1671
C3,4,-4247
D2,3,-4247
B4,4,-1475
D2,3,-4247
C4,4,-679
D2,3,-4247
D4,4,-2347
D2,3,-4247
D5,4,-1033
D2,3,-4247
A3,2,-7279
C3,3,Infinity
B2,4,-3216
C3,3,-3216
D2,4,-6435
C3,3,-6435
B4,4,-4002
C3,3,-6435
C4,4,-3206
C3,3,-6435
D4,4,-3142
C3,3,-6435
D5,4,-3560
C3,3,-6435
A3,2,-7279
B4,3,Infinity
B2,4,-3988
B4,3,-3988
D2,4,-6901
B4,3,-6901
C3,4,-4832
B4,3,-6901
C4,4,-3672
B4,3,-6901
D4,4,-3608
B4,3,-6901
D5,4,-4026
B4,3,-6901
A3,2,-7279
C4,3,Infinity
B2,4,-4070
C4,3,-4070
D2,4,-7289
C4,3,-7289
C3,4,-5154
C4,3,-7289
B4,4,-5096
C4,3,-7289
D4,4,-4236
C4,3,-7289
D5,4,-4414
C4,3,-7289
A3,2,-7289
D4,3,Infinity
B2,4,-4134
D4,3,-4134
D2,4,-7353
D4,3,-7353
C3,4,-4978
D4,3,-7353
B4,4,-4920
D4,3,-7353
C4,4,-4124
D4,3,-7353
D5,4,-4590
D4,3,-7353
A3,2,-7353
D5,3,Infinity
B2,4,-2744
D5,3,-2744
D2,4,-5963
D5,3,-5963
C3,4,-3588
D5,3,-5963
B4,4,-3530
D5,3,-5963
C4,4,-2734
D5,3,-5963
D4,4,-3226
